Port_IDs,ROI,realizedProfit,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
4020204877254599680,-0.002476163950246098,71998.85595307,0.03358281850475068,-21338.051187779998,0.3294214876033058,1993,6050,16533.715225255277
3788465932399412480,0.004362709810745346,13960.96645667,0.07270089971555488,-1772.2194397900003,0.44607363962202673,1369,3069,2969.5756916698488
3987739404272887297,0.003615937911509422,12464.6063154,0.02261474841206615,-3386.65609398,0.22826446280991736,1381,6050,2831.7153066553374
3939318616482048768,0.007040117865869536,9775.38910984,0.16361728470406367,-87.00335997999991,0.3746031746031746,118,315,1963.950453775761
4017263283405469185,-0.0002484908094061736,7141.3664193899995,-0.004577022586959208,-4788.43392336,0.336198347107438,2034,6050,1907.2493060969505
3944088772635000577,0.009497675272427935,7581.4919834,0.13147949680382756,-97.20372503000002,0.4575292759360053,2774,6063,1526.1936673125365
3886752488982104320,0.02093582318290663,7195.17832464,0.12161540202424277,-38.20809999999983,0.745396317053643,931,1249,1443.0616183870654
3910983669796782848,0.006332899202569841,6761.64804825,0.17429529298433033,-201.7234222300001,0.428125,274,640,1372.6815233013576
3953764659057081857,0.000800301550090851,6048.86608919,-0.0018949685206646953,-957.02322102,0.30874785591766724,180,583,1305.6062758223527
4011626972687000576,0.003212666864105302,5483.14982082,0.05989444793133384,-1133.2432568999998,0.38408190224570676,2326,6056,1210.1056407338701
3953433416230728705,2.5358720476401663e-05,4924.76177998,0.08716292685217056,-675.6869998999998,0.20872865275142316,110,527,1052.6593690442617
3879821005658659073,0.001104901628194519,4268.00656095,0.053775942250970536,-1914.9818661300005,0.33142201834862384,289,872,1045.2437276637736
3878631538480067329,0.0063881183809975945,3921.23304116,0.00044782790124942565,-1039.84219244,0.5033795802205621,1415,2811,888.3831714351167
3932103299427844097,0.003648338891154853,3860.30970535,0.002650990497875598,-669.45683594,0.3005021243723445,778,2589,839.1392995762043
3937714876784951296,0.006027179019527433,1117.5308932100002,0.037639305771696135,-3858.82450985,0.3933463796477495,201,511,609.537300279825
3935808725185052672,0.0012193127454371002,2301.96412286,0.07685304443339423,-1394.9714398600001,0.3510204081632653,602,1715,600.0408070015267
3891020560590657281,0.02042827081843975,2856.30056379,0.24380153351852066,0.0,0.6475972540045767,283,437,571.4797612713497
3930688517098515713,0.0027045699124887794,1947.24457347,0.08842047624686328,-1193.90742651,0.4861111111111111,140,288,509.0067639223342
3910887259807777281,0.006310192378871363,1803.3020100100002,-0.06435392863578888,-663.32189998,0.22666666666666666,17,75,427.1042809386533
4021243448368889856,0.0011724554698696592,1498.1937579,0.09584964275889567,-490.49299994,0.3785123966942149,2290,6050,348.8454244788621
3865845304835489536,0.006801507035269585,1406.06618669,0.0703091239990717,-149.03458058,0.5113378684807256,451,882,296.28393145975843
3956048468100538880,0.029917391969470544,1373.56489,0.44248422246398766,0.0,0.7142857142857143,20,28,274.9818786335122
3952087967771302912,0.0038591651490384035,1032.60525986,0.151562717313391,0.0,0.3372093023255814,58,172,206.68624319523997
3826087012661391104,0.2739837232146718,532.65697373,0.307412758564198,-12.92598013,0.5833333333333334,63,108,108.12600376101058
3949329502284748801,0.004616628178338391,425.96505788999997,0.05217494093617683,-44.74980001,0.1875,72,384,89.79856155564073
3786761687746711808,0.008457327655685118,205.02139999,0.15473256069434854,-123.46026665000002,0.45121951219512196,37,82,53.528912324655096
3946087913459823360,0.003505392619961141,-40.66724167,-0.0099837620354169,-453.5128596,0.3171733771569433,1930,6085,37.348609829094606
3858510226868015873,0.0007307686880337623,-280.97295039,-0.020072252358314172,-827.30973014,0.24397590361445784,243,996,26.656985306496196
4040382575336130560,0.0,0.0,0.0,0.0,0.0,0,76,0.1
3672754654734989568,0.010512042513966074,566.59765978,,-80.77703672,0.4430379746835443,210,474,
3733192481840423936,0.008762180867343693,2923.97719988,,-2743.12,0.8026124818577649,553,689,
3768170840939476993,0.13584387825666677,243.66889897,,0.0,0.42857142857142855,6,14,
3784403294629753856,0.0025120094035569612,2521.81430468,,-271.29198097000005,0.3023140495867769,1829,6050,
3818233536529843712,0.0057905711448356925,6419.60790714,,-2036.5375697500003,0.3391977480647431,482,1421,
3819545518395756033,0.004053772640778394,980.06319996,,0.0,0.38235294117647056,26,68,
3880920727367689984,0.00047801234525765416,-176.82699999000005,,-609.3906666500001,0.33793103448275863,49,145,
3887577207880438784,0.0017787625155719076,2417.51403674,,-577.6136464799999,0.4781818181818182,2893,6050,
3907081197088384000,0.015874461673681804,18015.99737026,,-2060.7071223800012,0.6139714769156394,2540,4137,
3911997667197443328,0.009947283033378511,605.72231024,,-257.06796966,0.46875,30,64,
3914654298562589441,0.015289047110106207,343.47044904999996,,-3893.06891877,0.4140786749482402,200,483,
3919174299855478272,0.0025081562717129266,1456.37180762,,-9684.34458371,0.48066298342541436,609,1267,
3919965573764932864,0.0,0.0,,,0.0,0,1,
3923766029921022977,0.001354396722273755,772.72903189,,-205.5326576,0.2851469420174742,359,1259,
3925368433214965504,0.0051084838823289925,6789.43673863,,-162.05753632000005,0.3333333333333333,486,1458,
3926423286576838657,0.0015637562984010115,1309.45995959,,-1119.0932,0.3410041841004184,163,478,
3931992636670880512,0.007493992116941966,10374.96528998,,-1651.1316999599994,0.40165289256198344,2430,6050,
3936410995029308417,0.02054691756345602,10681.514000000001,,0.0,0.3,6,20,
3939925275039085824,0.006376517292017172,2378.8786707,,-78.62181989999999,0.3623481781376518,2148,5928,
3941019213896463617,0.00818790707042575,4234.08779003,,-4944.99999998,0.49107142857142855,55,112,
3942630767220672256,0.006196567883726539,6611.89848042,,-6083.72668798,0.3829744415375327,1903,4969,
3943533600390906881,0.013449904719002032,2361.42457205,,-32.30352141,0.5480386583285958,964,1759,
3944239644144231424,-0.008489421085104193,-1187.89097568,,-5867.43454154,0.26456876456876455,227,858,
3944658614777849089,0.032921025103985195,2074.44997996,,0.0,0.4444444444444444,20,45,
3949214983441029120,0.006538665598589237,1317.57755896,,-131.15652971999998,0.369757174392936,1675,4530,
3951723256343550465,0.0020533313769410012,5260.02286389,,-1073.14492838,0.3524804177545692,1215,3447,
3956076827719377409,0.008846596897979992,16790.01223802,,-635.0500145300011,0.5155771195097038,2019,3916,
3957509601040585217,0.002818163620700025,3174.18036672,,-3268.4400000000005,0.2695417789757412,300,1113,
3960874214179953664,0.002596726696951828,19567.47128569,,-2233.999999989999,0.5156838143036386,1233,2391,
3962024093501274881,0.0005138328760866886,9314.494060179999,,-1828.49470213,0.26472898664571876,337,1273,
3966142151544441601,0.007223811422057607,4883.80077594,,-1661.4546297300003,0.5320910973084886,1028,1932,
3975304792994095360,0.0037102758706983106,2536.0810463,,-91.88800600000002,0.4265791632485644,1040,2438,
3975392755164484097,0.001412561518859849,2330.27031414,,-451.22514720000004,0.2799343903772553,512,1829,
3976088733682659585,0.0044858349759229815,5901.15009982,,-1074.721004,0.43567874911158494,1226,2814,
3977078013600312321,0.0016653419607595833,4622.3514376,,-753.4702992500002,0.32642487046632124,1638,5018,
3977116548751698176,0.0023282045466437285,603.9805007599999,,-906.93011814,0.28078817733990147,456,1624,
