Port_IDs,ROI,realizedProfit,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
4020204877254599680,-0.002476163950246098,71998.85595307,0.03358281850475068,-21338.051187779998,0.3294214876033058,1993,6050,16533.715225255277
3788465932399412480,0.004362709810745346,13960.96645667,0.07270089971555488,-1772.2194397900003,0.44607363962202673,1369,3069,2969.5756916698488
3987739404272887297,0.003615937911509422,12464.6063154,0.02261474841206615,-3386.65609398,0.22826446280991736,1381,6050,2831.7153066553374
3939318616482048768,0.007040117865869536,9775.38910984,0.16361728470406367,-87.00335997999991,0.3746031746031746,118,315,1963.950453775761
4017263283405469185,-0.0002484908094061736,7141.3664193899995,-0.004577022586959208,-4788.43392336,0.336198347107438,2034,6050,1907.2493060969505
3944088772635000577,0.009497675272427935,7581.4919834,0.13147949680382756,-97.20372503000002,0.4575292759360053,2774,6063,1526.1936673125365
3886752488982104320,0.02093582318290663,7195.17832464,0.12161540202424277,-38.20809999999983,0.745396317053643,931,1249,1443.0616183870654
3910983669796782848,0.006332899202569841,6761.64804825,0.17429529298433033,-201.7234222300001,0.428125,274,640,1372.6815233013576
3953764659057081857,0.000800301550090851,6048.86608919,-0.0018949685206646953,-957.02322102,0.30874785591766724,180,583,1305.6062758223527
4011626972687000576,0.003212666864105302,5483.14982082,0.05989444793133384,-1133.2432568999998,0.38408190224570676,2326,6056,1210.1056407338701
3953433416230728705,2.5358720476401663e-05,4924.76177998,0.08716292685217056,-675.6869998999998,0.20872865275142316,110,527,1052.6593690442617
3879821005658659073,0.001104901628194519,4268.00656095,0.053775942250970536,-1914.9818661300005,0.33142201834862384,289,872,1045.2437276637736
3878631538480067329,0.0063881183809975945,3921.23304116,0.00044782790124942565,-1039.84219244,0.5033795802205621,1415,2811,888.3831714351167
3932103299427844097,0.003648338891154853,3860.30970535,0.002650990497875598,-669.45683594,0.3005021243723445,778,2589,839.1392995762043
3937714876784951296,0.006027179019527433,1117.5308932100002,0.037639305771696135,-3858.82450985,0.3933463796477495,201,511,609.537300279825
3935808725185052672,0.0012193127454371002,2301.96412286,0.07685304443339423,-1394.9714398600001,0.3510204081632653,602,1715,600.0408070015267
3891020560590657281,0.02042827081843975,2856.30056379,0.24380153351852066,0.0,0.6475972540045767,283,437,571.4797612713497
3930688517098515713,0.0027045699124887794,1947.24457347,0.08842047624686328,-1193.90742651,0.4861111111111111,140,288,509.0067639223342
3910887259807777281,0.006310192378871363,1803.3020100100002,-0.06435392863578888,-663.32189998,0.22666666666666666,17,75,427.1042809386533
4021243448368889856,0.0011724554698696592,1498.1937579,0.09584964275889567,-490.49299994,0.3785123966942149,2290,6050,348.8454244788621
